"id","Address","Response_Address","Response_X","Response_Y"
"1","оч╢щелдд├c░╧е├║╓и╜лn╢щ╕Їв░в▓╕╣","оч╢щелдд├c░╧е├║╓и╜7╛Fлn╢щ╕Ї13╕╣","121.237718","24.970704"
"2","оч╢щел╖sл╬░╧кFй·и╜кF║╓╕Ї558╕╣","оч╢щел╖sл╬░╧кFй·и╜8╛FкF║╓╕Ї558╕╣","121.074134","24.971551"
"3","оч╢щел─кж╦░╧к°┐│и╜к°┐│╕Їе|мq273л╤10╕╣","оч╢щел─кж╦░╧к°┐│и╜3╛Fк°┐│╕Їе|мq273л╤10╕╣","121.268839","25.064871"
"4","оч╢щел╖и▒Ў░╧╖чйWи╜─лкG╕Ї122дз1╕╣","оч╢щел╖и▒Ў░╧╖чйWи╜31╛F─лкG╕Ї122дз1╕╣","121.184631","24.902222"
"5","оч╢щел└tдs░╧дs│╗и╜┐│и╣╕Ї35╕╣б]2бB3╝╙б^","оч╢щел└tдs░╧дs│╗и╜18╛F┐│и╣╕Ї35╕╣","121.324612","24.983027"
"6","оч╢щел└tдs░╧└н│╗и╜п∙▒M╕Ї28л╤1╕╣","оч╢щел└tдs░╧└н│╗и╜17╛Fп∙▒M╕Ї28л╤1╕╣","121.356293","24.997490"
"7","оч╢щелдK╝w░╧╖ч┬╫и╜д═┴p╡є62бB68бB72╕╣┬╫е╨╕Ї68╕╣","оч╢щелдK╝w░╧╖ч┬╫и╜2╛Fд═┴p╡є12╕╣","121.290282","24.929362"
"8","оч╢щелдд├c░╧╣L└ни╜е┴▒┌╕Їд╗мqдGе|д╗╕╣","оч╢щелдд├c░╧╣L└ни╜12╛Fе┴▒┌╕Їд╗мq246╕╣","121.161439","24.962017"
"9","оч╢щел└s╝ц░╧пQкLи╜дuд@╕Ї150л╤11╕╣1╝╙","оч╢щел└s╝ц░╧пQкLи╜16╛Fдuд@╕Ї150л╤11╕╣","121.208331","24.879614"
"10","оч╢щел╖и▒Ў░╧лCдsи╜╖рдT╕Ї2-2╕╣","оч╢щел╖и▒Ў░╧лCдsи╜2╛F╖рдT╕Ї2дз2╕╣","121.175543","24.924000"
"11","оч╢щел└s╝ц░╧░кени╜13╛Fдд┬╫╕Ї░кенмq10л╤61╕╣","оч╢щел└s╝ц░╧░кени╜13╛Fдд┬╫╕Ї░кенмq10л╤61╕╣","121.212377","24.839426"
