"Address","Response_Address","Response_X","Response_Y"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¢²¢¸¤§¢°¸¹","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½1¾Fºa¿³¸ô39¤§1¸¹","121.311603","24.954934"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¢¶¢²«Ñ¢±¢°¸¹","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½14¾Fºa¿³¸ô73«Ñ21¸¹","121.311837","24.953940"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¢¶¢²«Ñ¢±¢³¸¹¢²¼Ó","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½14¾Fºa¿³¸ô73«Ñ24¸¹","121.312011","24.953663"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô73«Ñ27¸¹","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½14¾Fºa¿³¸ô73«Ñ27¸¹","121.312058","24.953896"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¢¶¢²«Ñ¢²¢±¸¹","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½14¾Fºa¿³¸ô73«Ñ32¸¹","121.312238","24.953621"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¤@¤­¸¹¤@¼Ó","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½1¾Fºa¿³¸ô15¸¹","121.311910","24.955847"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¤C¤C¸¹","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½1¾Fºa¿³¸ô77¸¹","121.311246","24.953816"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¤­¤@¸¹","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½1¾Fºa¿³¸ô51¸¹","121.311546","24.954717"
"®ç¶é¥«¤K¼w°Ïºa¿³¸ô¤»¤­¸¹","®ç¶é¥«¤K¼w°Ï¤j¦Ë¨½1¾Fºa¿³¸ô65¸¹","121.311419","24.954537"
"®ç¶é¥«¤K¼w°Ï¤j©úµó¤C¤T¸¹¤@¼Ó","®ç¶é¥«¤K¼w°Ï¤j§»¨½15¾F¤j©úµó73¸¹","121.297184","24.969019"
"®ç¶é¥«¤K¼w°Ï®ç¼w¸ô¤@¤@¤C¸¹","®ç¶é¥«¤K¼w°Ï¤j§»¨½7¾F®ç¼w¸ô117¸¹","121.294581","24.967968"
