"Address","¤u¼t¦WºÙ","¤u¼tµn°O½s¸¹","¤u¼t³]¥ß³\¥i®×¸¹","¤u¼t¦a§}","¤u¼t¥«Âí¶m§ø¨½","¤u¼t­t³d¤H©m¦W","¤½¥q.Àç§Q¨Æ·~.²Î¤@½s¸¹","¤u¼t²ÕÂ´«¬ºA","¤u¼t³]¥ß®Ö­ã¤é´Á","¤u¼tµn°O®Ö­ã¤é´Á","¤u¼tµn°Oª¬ºA","²£·~Ãþ§O","¥D­n²£«~","Response_Address","Response_X","Response_Y"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½¢±¢²¾F®çÅa¸ô§»ºÖ«Ñ¢°§Ë¢°¢¯¸¹","¤WÂ×°wÂ´¦³­­¤½¥q","99629742",8510003011737,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½¢±¢²¾F®çÅa¸ô§»ºÖ«Ñ¢°§Ë¢°¢¯¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","¥j¥ü³s¡@¡@",28794213,"¦³­­¤½¥q",850530,850606,"¥Í²£¤¤","12¦¨¦ç¤ÎªA¹¢«~»s³y·~","122°wÂ´¦¨¦ç","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½14¾F®çÅa¸ô§»ºÖ«Ñ1§Ë10¸¹","121.326554","24.970563"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½¤@¢¯¾F©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤»¸¹","ºëó`¥ø·~¦³­­¤½¥q","99627573",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½¤@¢¯¾F©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤»¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","­S¨q½¬",43790200,"¦³­­¤½¥q",NA,911014,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~,29¾÷±ñ³]³Æ»s³y·~","220¶ì½¦»s«~,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ26¸¹","121.322306","24.969328"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½¤¯©Mµó¤G¥|¤K«Ñ¤T¢¯¸¹","»Í¶¶»õ¾÷±ñ¦³­­¤½¥q","99622298",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½¤¯©Mµó¤G¥|¤K«Ñ¤T¢¯¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","§õ¶©¥¿",12905017,"¦³­­¤½¥q",NA,901025,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½21¾F¤¯©Mµó248«Ñ30¸¹","121.318912","24.971213"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¢°¢²¢³¢µ«Ñ¢²¢´¸¹","¤j¿k¥ø·~¦³­­¤½¥q","99688318",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¢°¢²¢³¢µ«Ñ¢²¢´¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","§E²K¤B",86352587,"¦³­­¤½¥q",NA,940412,"¥Í²£¤¤","08­¹«~»s³y·~","089¨ä¥L­¹«~","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½11¾F©M¥­¸ô1346«Ñ35¸¹","121.324732","24.968062"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ18¸¹1¼Ó","®m±¶¥ø·~ªÀ¤K¼w¼t","03001552",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ18¸¹1¼Ó","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","¶À¯Â«C",36435789,"¿W¸ê",NA,1020223,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ18¸¹","121.322668","24.969501"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ18¸¹1¼Ó","©÷¿ã¾÷±ñ¦³­­¤½¥q(©M¥­¼t)","68000293",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ18¸¹1¼Ó","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","ÁÂ¨ÎÀM",54231865,"¦³­­¤½¥q",NA,1040918,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ18¸¹","121.322668","24.969501"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ22§Ë4ÛÁ2¸¹1¼Ó","¸s¥P¾÷±ñªÑ¥÷¦³­­¤½¥q","03001937",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ22§Ë4ÛÁ2¸¹1¼Ó","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","ªL©[«n",22905711,"ªÑ¥÷¦³­­¤½¥q",NA,1021001,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","292¨ä¥L±M¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë2¸¹","121.322089","24.969885"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ22§Ë4ÛÁ6¸¹","¤¤°pªÑ¥÷¦³­­¤½¥q¤K¼w¼t","03001263",NA,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô1441«Ñ22§Ë4ÛÁ6¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","¿cÂ@ªB",16422738,"ªÑ¥÷¦³­­¤½¥q",NA,1010827,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë6¸¹","121.321973","24.969808"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¡³¸¹","¼yªå¹q¤l¥ø·~¦³­­¤½¥q®ç¶é¼t","99686081",8510003301111,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¡³¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","¦¿­lÚ|¡@¡@¡@",86344428,"¦³­­¤½¥q",860113,860125,"¥Í²£¤¤","27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,28¹q¤O³]³Æ»s³y·~","271¹q¸£¤Î¨ä¶gÃä³]³Æ,285®a¥Î¹q¾¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ14¸¹","121.322786","24.969579"
"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤@¸¹","­ì¦X©Ó¤u·~ªÑ¥÷¦³­­¤½¥q","99628968",8410003148289,"®ç¶é¥«¤K¼w°Ï¤j¤¯¨½©M¥­¸ô¤@¥|¥|¤@«Ñ¤G¤G§Ë¤@¸¹","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½","©P©[ªê¡@¡@¡@",89300748,"ªÑ¥÷¦³­­¤½¥q",840713,850705,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","292¨ä¥L±M¥Î¾÷±ñ³]³Æ,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«¤K¼w°Ï¤j¤¯¨½10¾F©M¥­¸ô1441«Ñ22§Ë1¸¹","121.322446","24.969656"
